ID,Stress response
Q0010,
Q0017,
Q0032,
Q0045,
Q0050,
Q0055,
Q0060,
Q0065,
Q0070,
Q0075,
Q0080,
Q0085,
Q0092,
Q0105,
Q0110,
Q0115,
Q0120,
Q0130,
Q0140,
Q0142,
Q0143,
Q0144,
Q0160,
Q0182,
Q0250,
Q0255,
Q0275,
Q0297,
R0020C,
R0040C,
snR10,
YAL001C,0.101280560246667
YAL002W,0.081182354085631
YAL003W,-0.202010333053807
YAL004W,-0.0475115497204546
YAL005C,0.0611163939387093
YAL007C,0.10102920987897
YAL008W,0.256886801977971
YAL009W,-0.0200799372420031
YAL010C,0.0415045579039903
YAL011W,-0.0640794293195458
YAL012W,0.0705209557303155
YAL013W,-0.229132676832418
YAL014C,0.0592764569745313
YAL015C,0.0059209516194038
YAL016C-A,
YAL016C-B,
YAL016W,0.196941573659685
YAL017W,0.117355048986267
YAL018C,-0.0651990270162258
YAL019W,-0.19843731509151
YAL019W-A,
YAL020C,-0.0912413777217238
YAL021C,0.0390436737446818
YAL022C,0.095686045476899
YAL023C,-0.140180851381433
YAL024C,-0.0423927600956401
YAL025C,-0.409841758265716
YAL026C,0.0138002787677524
YAL026C-A,
YAL027W,0.0380395712219349
YAL028W,0.0525620265720341
YAL029C,-0.0004707240777859
YAL030W,0.0523340944637068
YAL031C,-0.0517447747220375
YAL031W-A,
YAL032C,-0.126811012243731
YAL033W,-0.0939978781988021
YAL034C,0.185118554403603
YAL034C-B,
YAL034WA,
YAL034W-A,0.0248592955628527
YAL035C-A,-0.379465835391131
YAL035W,-0.372125182913265
YAL036C,-0.401214418902724
YAL037C-A,
YAL037C-B,
YAL037W,-0.180467806616659
YAL038W,-0.176834224110066
YAL039C,-0.159558793661314
YAL040C,-0.115968694210974
YAL041W,-0.232873595790714
YAL042C-A,
YAL042W,-0.160469918050448
YAL043C,-0.253011256066361
YAL043C-A,-0.123656336025445
YAL044C,0.241621899509324
YAL044W-A,
YAL045C,-0.0460238777657449
YAL046C,-0.0892343863773686
YAL047C,-0.247695245877442
YAL047W-A,
YAL048C,-0.0354796614328971
YAL049C,0.214633683160096
YAL051W,-0.176917167216992
YAL053W,-0.0539138338005715
YAL054C,0.022852531948123
YAL055W,-0.0240170862603435
YAL056C-A,
YAL056W,-0.0106052228586338
YAL058C-A,0.0728514393568938
YAL058W,-0.214438458297577
YAL059C-A,
YAL059W,-0.251580318982928
YAL060W,0.25135028842158
YAL061W,0.0763437857100629
YAL062W,-0.0752859433729698
YAL063C,-0.108313637514053
YAL063C-A,
YAL064C-A,-0.201225156709722
YAL064W,-0.270160933514896
YAL064W-B,0.0845213442946338
YAL065C,0.0226510142132272
YAL065C-A,
YAL066W,-0.226022272049206
YAL067C,-0.186439809723645
YAL067W-A,
YAL068C,-0.0589032822149958
YAL068W-A,
YAL069W,-0.0620352436270447
YAR002CA,
YAR002C-A,0.0019638197716608
YAR002W,-0.149008552881478
YAR003W,-0.105880873062644
YAR007C,0.0025508622139698
YAR008W,-0.259304559375006
YAR009C,0.0477171435716377
YAR010C,-0.165829818964289
YAR014C,-0.118596365473385
YAR015W,0.121575091985758
YAR018C,-0.0687451649914603
YAR019C,-0.070324804659768
YAR019W-A,
YAR020C,-0.108689686516329
YAR023C,-0.16335471106292
YAR027W,0.145573510529447
YAR028W,0.0352613597966868
YAR029W,-0.19983685929986
YAR030C,-0.246072549203455
YAR031W,0.10245814247172
YAR033W,0.125915023454657
YAR035C-A,
YAR035W,-0.154020636586866
YAR037W,
YAR040C,
YAR042W,-0.341061462142874
YAR043C,
YAR044W,-0.100126569345786
YAR047C,-0.184658062403358
YAR050W,-0.15636789810818
YAR052C,
YAR053W,-0.226879503679261
YAR060C,-0.141012162157509
YAR061W,-0.164732865696071
YAR062W,0.0793956667885218
YAR064W,-0.207072223907496
YAR066W,0.129345717639585
YAR068W,0.145903630425832
YAR069C,-0.203337144531901
YAR070C,-0.0205371969375173
YAR071W,-0.474847460229274
YAR073W,-0.164073610434272
YAR074C,
YAR075W,-0.392170732314365
YBL001C,0.396463145876838
YBL002W,0.0098259821955826
YBL003C,0.130217393242737
YBL004W,-0.193490427032816
YBL005W,0.205766505810338
YBL005WA,
YBL005W-A,0.179577728294978
YBL005W-B,0.0679143358406168
YBL006C,0.0226406047432793
YBL006W-A,
YBL007C,-0.008290344358717
YBL008W,0.0111738944811954
YBL008W-A,
YBL009W,-0.143870250213284
YBL010C,-0.0133230305019563
YBL011W,-0.0145568554556561
YBL012C,-0.232938871214087
YBL013W,-0.203313698504877
YBL014C,-0.191548409346152
YBL015W,0.181895055791287
YBL016W,-0.142360415187188
YBL017C,0.0147656046639484
YBL018C,-0.0894847928354495
YBL019W,0.114150664603224
YBL020W,-0.110096454539796
YBL021C,0.106406417192743
YBL022C,-0.0377425588310905
YBL023C,-0.0840803589004119
YBL024W,-0.333764041485236
YBL025W,0.0516767925241039
YBL026W,0.146383127577221
YBL027W,-0.143217180865816
YBL028C,-0.29572383353758
YBL029C-A,
YBL029W,-0.0315220770494905
YBL030C,0.304910599658761
YBL031W,-0.0992709506094927
YBL032W,-0.136498399008425
YBL033C,0.0318479482904007
YBL034C,-0.0965683251770783
YBL035C,-0.183993429289739
YBL036C,0.0732082197917294
YBL037W,-0.0492555191030627
YBL038W,0.189620405805011
YBL039C,-0.576287098615785
YBL039C-A,
YBL039W-B,
YBL040C,0.0639289709618291
YBL041W,0.168866204817971
YBL042C,-0.320217193064783
YBL043W,-0.091802332151048
YBL044W,-0.291847740628454
YBL045C,0.213945599816819
YBL046W,-0.186211060281242
YBL047C,0.0028075951708597
YBL048W,0.0658343312201985
YBL049W,0.218702072769027
YBL050W,0.241395971246103
YBL051C,0.0190066178211797
YBL052C,-0.20988869403111
YBL053W,-0.183289621768953
YBL054W,-0.475925444201231
YBL055C,-0.0196330264637586
YBL056W,0.0616420690135121
YBL057C,-0.0320572199430867
YBL058W,-0.0413132009085301
YBL059C-A,
YBL059W,0.0474670872854048
YBL060W,-0.0132009070718214
YBL061C,-0.211250064726237
YBL062W,-0.208686560493234
YBL063W,-0.157008642310341
YBL064C,1.2114166815712
YBL065W,-0.13106014670488
YBL066C,-0.0370646566322624
YBL067C,-0.203836506869221
YBL068W,-0.290146134138027
YBL068W-A,
YBL069W,-0.131637609251391
YBL070C,-0.255822404501798
YBL071C,-0.110556873325956
YBL071C-B,
YBL071W-A,
YBL072C,-0.167538715321913
YBL073W,-0.286244405722127
YBL074C,-0.222910999315231
YBL075C,0.0009517752801116
YBL076C,-0.342574517498188
YBL077W,-0.212510122578651
YBL078C,0.367966705038688
YBL079W,-0.250747934753105
YBL080C,-0.0804689745487497
YBL081W,-0.116274171131234
